时间,温度
2010-07-01 08:00:00,28.632937646694586
2010-07-01 09:00:00,29.156205549850306
2010-07-01 10:00:00,32.40958114996907
2010-07-01 11:00:00,33.2638558508606
2010-07-01 12:00:00,33.895030984123814
2010-07-01 13:00:00,35.88868552941418
2010-07-01 14:00:00,35.93655909241619
2010-07-01 15:00:00,36.01461381470206
2010-07-01 16:00:00,34.795426440218634
2010-07-01 17:00:00,34.61390128256574
2010-07-01 18:00:00,32.28409106663087
2010-07-01 19:00:00,31.920000021694598
2010-07-01 20:00:00,31.625966513462654
2010-07-01 21:00:00,31.100178949096282
2010-07-01 22:00:00,30.461663933176013
2010-07-01 23:00:00,30.073033579057963
2010-07-02 00:00:00,29.91193958730866
2010-07-02 01:00:00,29.24044987467535
2010-07-02 02:00:00,29.156534201312574
2010-07-02 03:00:00,28.726931964899887
2010-07-02 04:00:00,27.95558698298437
2010-07-02 05:00:00,28.017263907401123
2010-07-02 06:00:00,29.710257139970704
2010-07-02 07:00:00,30.484559985046538
2010-07-02 08:00:00,30.957215563014813
2010-07-02 09:00:00,31.519154788229358
2010-07-02 10:00:00,34.82254018585477
2010-07-02 11:00:00,35.015239493224385
2010-07-02 12:00:00,34.99206956513531
2010-07-02 13:00:00,35.392750472869444
2010-07-02 14:00:00,35.917771183823874
2010-07-02 15:00:00,36.027924198923444
2010-07-02 16:00:00,35.54727143537362
2010-07-02 17:00:00,35.5162686474341
2010-07-02 18:00:00,33.42878410966955
2010-07-02 19:00:00,33.22956654829853
2010-07-02 20:00:00,32.37759240764279
2010-07-02 21:00:00,32.54241111596433
2010-07-02 22:00:00,31.5736561557202
2010-07-02 23:00:00,31.354883832344917
2010-07-03 00:00:00,30.931197322252835
2010-07-03 01:00:00,30.095217552760246
2010-07-03 02:00:00,30.247437955028627
2010-07-03 03:00:00,29.716008540560196
2010-07-03 04:00:00,29.035042710765172
2010-07-03 05:00:00,29.23217881287523
2010-07-03 06:00:00,30.062790608484306
2010-07-03 07:00:00,30.671069689876976
2010-07-03 08:00:00,31.735462225637704
2010-07-03 09:00:00,32.10574287311314
2010-07-03 10:00:00,34.34763882289444
2010-07-03 11:00:00,34.65355855901133
2010-07-03 12:00:00,34.630114754703726
2010-07-03 13:00:00,34.844231182363686
2010-07-03 14:00:00,34.40548148025154
2010-07-03 15:00:00,34.65815967948292
2010-07-03 16:00:00,33.509029841703786
2010-07-03 17:00:00,33.211326392143306
2010-07-03 18:00:00,32.04351819625927
2010-07-03 19:00:00,31.842493051845842
2010-07-03 20:00:00,31.335383845584374
2010-07-03 21:00:00,30.929225413479312
2010-07-03 22:00:00,30.18209108928333
2010-07-03 23:00:00,30.292737081576295
2010-07-04 00:00:00,29.9916375669058
2010-07-04 01:00:00,29.62584848941456
2010-07-04 02:00:00,29.945900238408488
2010-07-04 03:00:00,29.44788372260278
2010-07-04 04:00:00,29.012146658894647
2010-07-04 05:00:00,28.53335625363094
2010-07-04 06:00:00,29.02036294545104
2010-07-04 07:00:00,28.846944523867137
2010-07-04 08:00:00,28.91283914204954
2010-07-04 09:00:00,28.935844744407476
2010-07-04 10:00:00,31.46585847610012
2010-07-04 11:00:00,32.15525969342641
2010-07-04 12:00:00,32.2713832100903
2010-07-04 13:00:00,32.98400913074937
2010-07-04 14:00:00,33.533459600398174
2010-07-04 15:00:00,33.485038284959074
2010-07-04 16:00:00,32.34878062945165
2010-07-04 17:00:00,32.09571900351431
2010-07-04 18:00:00,30.619854837008706
2010-07-04 19:00:00,30.05890156618094
2010-07-04 20:00:00,30.257571375114864
2010-07-04 21:00:00,30.033814504562038
2010-07-04 22:00:00,29.326063580593118
2010-07-04 23:00:00,28.826020380770167
2010-07-05 00:00:00,28.350352164397886
2010-07-05 01:00:00,27.97656590132506
2010-07-05 02:00:00,27.881092651539614
2010-07-05 03:00:00,27.80900843081807
2010-07-05 04:00:00,27.478932812225317
2010-07-05 05:00:00,27.27144418905418
2010-07-05 06:00:00,28.111367776093843
2010-07-05 07:00:00,27.79794383158875
2010-07-05 08:00:00,27.846036495565595
2010-07-05 09:00:00,27.491695444009597
2010-07-05 10:00:00,29.149413419630346
2010-07-05 11:00:00,28.88473944202663
2010-07-05 12:00:00,28.75546986687248
2010-07-05 13:00:00,29.42367306488323
2010-07-05 14:00:00,29.62075439174958
2010-07-05 15:00:00,29.378319163091874
2010-07-05 16:00:00,27.647969214312482
2010-07-05 17:00:00,27.637890569469953
2010-07-05 18:00:00,25.493330227760218
2010-07-05 19:00:00,25.675622238825042
2010-07-05 20:00:00,25.591980441680814
2010-07-05 21:00:00,25.66740595226864
2010-07-05 22:00:00,25.374029746961185
2010-07-05 23:00:00,25.329278372850613
2010-07-06 00:00:00,25.259878139070832
2010-07-06 01:00:00,25.3210073110505
2010-07-06 02:00:00,25.204555142924367
2010-07-06 03:00:00,25.23588658232612
2010-07-06 04:00:00,25.273024197561078
2010-07-06 05:00:00,24.937471054597406
2010-07-06 06:00:00,24.99701174450952
2010-07-06 07:00:00,25.117736381644974
2010-07-06 08:00:00,25.197817787948104
2010-07-06 09:00:00,24.935334820092734
2010-07-06 10:00:00,26.280012277914352
2010-07-06 11:00:00,25.980775121530012
2010-07-06 12:00:00,25.77328649835887
2010-07-06 13:00:00,25.731054785458937
2010-07-06 14:00:00,25.579491686115084
2010-07-06 15:00:00,25.107931613021005
2010-07-06 16:00:00,25.326484835421443
2010-07-06 17:00:00,25.70624160005859
2010-07-06 18:00:00,26.117987107022014
2010-07-06 19:00:00,25.67047336591636
2010-07-06 20:00:00,25.335467975389786
2010-07-06 21:00:00,25.55358299584055
2010-07-06 22:00:00,24.66348528556307
2010-07-06 23:00:00,24.203701889866522
2010-07-07 00:00:00,24.246152703741302
2010-07-07 01:00:00,23.483571760819277
2010-07-07 02:00:00,23.149990526629136
2010-07-07 03:00:00,22.82002445852382
2010-07-07 04:00:00,22.574521816218365
2010-07-07 05:00:00,22.63165239540726
2010-07-07 06:00:00,23.924841124142056
2010-07-07 07:00:00,24.334121745138564
2010-07-07 08:00:00,25.239392197923515
2010-07-07 09:00:00,26.461537435567266
2010-07-07 10:00:00,29.423892165858067
2010-07-07 11:00:00,30.30495196092348
2010-07-07 12:00:00,31.002898116268423
2010-07-07 13:00:00,32.41330586654132
2010-07-07 14:00:00,32.79141937386718
2010-07-07 15:00:00,33.01002737151131
2010-07-07 16:00:00,32.44140556656422
2010-07-07 17:00:00,32.084216202335355
2010-07-07 18:00:00,29.751502898483878
2010-07-07 19:00:00,28.55121298308019
2010-07-07 20:00:00,28.022303229822384
2010-07-07 21:00:00,27.56723050508485
2010-07-07 22:00:00,26.601159531782475
2010-07-07 23:00:00,26.132447771361292
2010-07-08 00:00:00,25.916523760658897
2010-07-08 01:00:00,24.655488099981497
2010-07-08 02:00:00,24.329137197961003
2010-07-08 03:00:00,24.02743515560973
2010-07-08 04:00:00,22.957729421209212
2010-07-08 05:00:00,22.813068002572727
2010-07-08 06:00:00,24.46262446688078
2010-07-08 07:00:00,25.12562401673914
2010-07-08 08:00:00,26.363544524571175
2010-07-08 09:00:00,27.607928511160917
2010-07-08 10:00:00,29.551354157969804
2010-07-08 11:00:00,30.008398791480886
2010-07-08 12:00:00,30.27909804589265
2010-07-08 13:00:00,31.242704133228106
2010-07-08 14:00:00,31.380847297863163
2010-07-08 15:00:00,30.88880128362179
2010-07-08 16:00:00,27.845981720321888
2010-07-08 17:00:00,27.124646535913048
2010-07-08 18:00:00,26.06173293173247
2010-07-08 19:00:00,25.91236084213699
2010-07-08 20:00:00,25.90124146766399
2010-07-08 21:00:00,25.89138192379629
