,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
13,22726,22727,0.04256581786793267,0.047313336210617174,0.028593008200258955,0.6717363751584284,14.197611687499009,0.02657907734839356,2.902199914014761,0.9708924495343885
14,22727,22726,0.047313336210617174,0.04256581786793267,0.028593008200258955,0.6043329532497149,14.197611687499007,0.02657907734839356,2.4197976303453115,0.9757306926715438
34,82494L,82482,0.0437526974536038,0.04725938713854122,0.025248165731549418,0.5770653514180024,12.210597435940745,0.02318044006423409,2.2526899038794257,0.9601113883765505
35,82482,82494L,0.04725938713854122,0.0437526974536038,0.025248165731549418,0.5342465753424658,12.210597435940747,0.02318044006423409,2.053119208408439,0.9636452071899411
54,22386,85099B,0.046989641778161416,0.08631851532153648,0.02945619335347432,0.6268656716417911,7.262238805970149,0.025400117239692585,2.4486663789382823,0.9048185138759722
248,22382,20725,0.05330168321104877,0.06954035390591282,0.025194216659473457,0.4726720647773279,6.797090296906556,0.021487598745196273,1.76448009662372,0.900897580890396
276,20725,22384,0.06954035390591282,0.05022658610271903,0.028215364695727232,0.4057408844065167,8.078209488033504,0.024722590122658348,1.5982479510621348,0.9416960701786361
277,22384,20725,0.05022658610271903,0.06954035390591282,0.028215364695727232,0.5617615467239527,8.078209488033504,0.024722590122658348,2.123181202239204,0.9225465562266933
281,20727,22384,0.05675442382391023,0.05022658610271903,0.025032369443245578,0.44106463878326996,8.781497469910517,0.02218178848834374,1.6992544752039789,0.939441676725124
282,22384,20727,0.05022658610271903,0.05675442382391023,0.025032369443245578,0.49838882921589694,8.78149746991052,0.02218178848834374,1.8804317589292068,0.9329848495235484
476,20725,20727,0.06954035390591282,0.05675442382391023,0.02789167026327147,0.4010861132660978,7.067045813213297,0.023944947544830585,1.574926875247383,0.9226602804468336
477,20727,20725,0.05675442382391023,0.06954035390591282,0.02789167026327147,0.49144486692015205,7.067045813213296,0.023944947544830585,1.829614107833607,0.9101533892053615
479,20727,22383,0.05675442382391023,0.05626888217522659,0.025086318515321535,0.44201520912547526,7.855411233317171,0.021892810528251056,1.6913205041765953,0.92520891604736
480,22383,20727,0.05626888217522659,0.05675442382391023,0.025086318515321535,0.44582933844678807,7.855411233317171,0.021892810528251056,1.7020850102969922,0.9247329039142538
481,20725,22383,0.06954035390591282,0.05626888217522659,0.027999568407423393,0.4026377036462374,7.155601605739843,0.024086610427068028,1.5798304037352375,0.9245423487126242
482,22383,20725,0.05626888217522659,0.06954035390591282,0.027999568407423393,0.4976030680728667,7.155601605739843,0.024086610427068028,1.852040860450635,0.9115407241894832
594,22697,22699,0.03727880880448856,0.04224212343547691,0.029186447993094517,0.7829232995658466,18.534184266606044,0.027611711950047767,4.4120712847072365,0.9826787354032904
595,22699,22697,0.04224212343547691,0.03727880880448856,0.029186447993094517,0.6909323116219668,18.534184266606044,0.027611711950047767,3.1149202177937414,0.9877711954752277
904,23203,85099B,0.05826499784203712,0.08631851532153648,0.025248165731549418,0.43333333333333335,5.020166666666666,0.020218817622612247,1.6123790906090534,0.8503490093774236
