,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
52,85099B,20725,0.08631851532153648,0.06954035390591282,0.022928355632283126,0.265625,3.819724592707525,0.016925735528190523,1.267008879787693,0.8079413154019285
55,85099B,22386,0.08631851532153648,0.046989641778161416,0.02945619335347432,0.34125,7.262238805970149,0.025400117239692585,1.4466950409439676,0.9437658861371662
63,22386,23203,0.02945619335347432,0.05826499784203712,0.010358221838584376,0.3516483516483516,6.035327635327635,0.008641956796409566,1.4525065287521122,0.8596303501945524
64,23203,22386,0.025248165731549418,0.046989641778161416,0.010358221838584376,0.41025641025641024,8.730783950072125,0.009171819575303218,1.6159740856805087,0.9083981348239982
70,85099B,21931,0.08631851532153648,0.04175658178679327,0.023413897280966767,0.27125,6.495981912144702,0.01980953113622846,1.3149137814246403,0.9259886501418187
78,22386,21931,0.02945619335347432,0.04175658178679327,0.011868795856711264,0.4029304029304029,9.64950639369244,0.010638805909819317,1.6049107556577018,0.92357269189954
79,21931,22386,0.023413897280966767,0.046989641778161416,0.011868795856711264,0.5069124423963134,10.787748601903633,0.010768585210847968,1.9327406330293362,0.9290550516768614
83,22411,21931,0.021363832542080276,0.04175658178679327,0.010088476478204576,0.47222222222222227,11.308929084122882,0.009196395857381846,1.8156191081934445,0.9314741552629873
84,21931,22411,0.023413897280966767,0.04261976694000863,0.010088476478204576,0.4308755760368664,10.109759085340956,0.00909058163293247,1.6821984661863816,0.9226894301276722
98,85099B,85099C,0.08631851532153648,0.03501294777729823,0.019529564091497625,0.22624999999999995,6.461895223420646,0.01650729842233075,1.2471561256513108,0.9250998885632487
108,85099B,21929,0.08631851532153648,0.0324773413897281,0.017857142857142856,0.20687499999999998,6.369825581395348,0.015053746966790842,1.2198867248041252,0.9226517602432903
137,85099B,22411,0.08631851532153648,0.04261976694000863,0.021363832542080276,0.24749999999999997,5.807164556962025,0.01768495753646883,1.2722660904451712,0.9060038266462451
144,22386,22411,0.02945619335347432,0.04261976694000863,0.010142425550280535,0.3443223443223443,8.07893541058098,0.008887009454615628,1.46013856773954,0.9028148025498798
145,22411,22386,0.021363832542080276,0.046989641778161416,0.010142425550280535,0.47474747474747475,10.103236730102402,0.009138546712119555,1.8143851050761926,0.9206913134251331
361,20725,22384,0.022928355632283126,0.05022658610271903,0.010088476478204576,0.44,8.760300751879699,0.008936863449845945,1.6960239533880015,0.9066363485777102
362,22384,20725,0.014943892965041,0.06954035390591282,0.010088476478204576,0.6750902527075813,9.707892105653784,0.009049272872683544,2.8637480218673574,0.9105989193520564
555,85099B,85099F,0.08631851532153648,0.03528269313767803,0.02233491583944756,0.25875,7.333623853211009,0.019289366151257828,1.3014736011633348,0.9452328630205444
561,22386,85099F,0.02945619335347432,0.03528269313767803,0.012516184721622789,0.4249084249084249,12.042970281502392,0.011476890890528044,1.6775020686204707,0.9447940426673823
562,85099F,22386,0.02233491583944756,0.046989641778161416,0.012516184721622789,0.5603864734299517,11.92574474339562,0.011466675027181765,2.1678367489222046,0.9370773378899337
802,85099B,23199,0.08631851532153648,0.03873543375053949,0.018936124298662062,0.219375,5.66341922005571,0.015592539166979759,1.2314037678135603,0.9012202129821403
889,23203,23209,0.025248165731549418,0.05427276650841605,0.01089771255934398,0.43162393162393164,7.9528640125061605,0.009527424755829806,1.663911072458877,0.8969043240387797
890,85099B,23203,0.013757013379369874,0.05826499784203712,0.01089771255934398,0.7921568627450981,13.595758896151054,0.010096160204482119,4.530989161326049,0.9393705849442776
905,85099B,23203,0.08631851532153648,0.05826499784203712,0.025248165731549418,0.2925,5.020166666666666,0.020218817622612247,1.3310742079971207,0.8764579775444206
911,85099B,23202,0.08631851532153648,0.04164868364264135,0.0186124298662063,0.21562499999999998,5.177234455958549,0.015017377329077139,1.22180247503727,0.8830721625488624
921,23203,23202,0.025248165731549418,0.04164868364264135,0.012192490289167026,0.48290598290598286,11.594747796820334,0.011140937422056746,1.8533405622117514,0.9374222455580785
922,23202,23203,0.0186124298662063,0.05826499784203712,0.012192490289167026,0.6550724637681159,11.24298443370907,0.011108037103177449,2.7302401323066987,0.9283342000785177
