,0,1,2,3,4,5,6,7,8,9
0,4.0,0.0,0.0,47.0,44.0,49.0,0.0,0.0,0.0,46.0
1,0.0,7.0,18.0,47.0,32.0,0.0,52.0,28.0,56.0,46.0
2,23.0,7.0,15.0,22.0,28.0,53.0,52.0,16.0,55.0,46.0
3,23.0,24.0,59.0,51.0,19.0,8.0,52.0,16.0,55.0,28.0
4,18.0,24.0,41.0,51.0,19.0,10.0,30.0,44.0,55.0,28.0
5,19.0,24.0,41.0,5.0,26.0,10.0,30.0,44.0,55.0,28.0
6,4.0,20.0,41.0,5.0,26.0,15.0,30.0,0.0,7.0,14.0
7,28.0,17.0,23.0,5.0,55.0,0.0,40.0,33.0,25.0,15.0
8,8.0,3.0,2.0,5.0,14.0,20.0,12.0,33.0,25.0,15.0
9,13.0,7.0,21.0,5.0,14.0,1.0,53.0,33.0,25.0,55.0
10,33.0,22.0,21.0,11.0,52.0,17.0,53.0,0.0,25.0,55.0
11,33.0,24.0,17.0,11.0,55.0,39.0,4.0,36.0,56.0,29.0
12,21.0,24.0,17.0,32.0,5.0,44.0,4.0,10.0,3.0,51.0
13,21.0,24.0,32.0,44.0,0.0,56.0,25.0,36.0,53.0,33.0
14,21.0,24.0,32.0,44.0,46.0,36.0,25.0,0.0,59.0,33.0
15,21.0,24.0,6.0,44.0,46.0,33.0,25.0,36.0,0.0,0.0
16,17.0,45.0,9.0,44.0,46.0,33.0,40.0,56.0,41.0,7.0
17,41.0,45.0,9.0,33.0,38.0,0.0,40.0,56.0,31.0,7.0
18,34.0,21.0,3.0,33.0,26.0,37.0,2.0,56.0,43.0,35.0
19,23.0,59.0,40.0,43.0,0.0,37.0,2.0,3.0,14.0,35.0
20,25.0,59.0,40.0,43.0,0.0,37.0,2.0,17.0,33.0,35.0
21,45.0,24.0,27.0,35.0,37.0,7.0,26.0,53.0,33.0,11.0
22,19.0,24.0,27.0,9.0,37.0,7.0,26.0,22.0,8.0,11.0
23,37.0,36.0,23.0,9.0,48.0,24.0,26.0,22.0,8.0,0.0
24,53.0,28.0,12.0,2.0,21.0,14.0,49.0,13.0,11.0,27.0
25,53.0,29.0,12.0,36.0,17.0,32.0,46.0,14.0,11.0,27.0
26,53.0,29.0,12.0,36.0,54.0,32.0,28.0,14.0,11.0,27.0
27,50.0,29.0,33.0,36.0,54.0,32.0,28.0,20.0,11.0,27.0
28,59.0,53.0,24.0,1.0,40.0,52.0,15.0,34.0,30.0,54.0
29,55.0,53.0,28.0,1.0,40.0,52.0,15.0,43.0,30.0,54.0
